author,comment,published_at
Harsh gautam,"453 - You currently have Essential access which includes access to Twitter API v2 endpoints only. 

I am  getting this error while trying to fetch tweets from api",2022-09-22T14:06:18Z
aoffyclub,thank you for this project,2022-09-22T11:54:43Z
Eternal 218,"You always continue to be great asset in data engineering content, thanks again!",2022-09-22T08:07:16Z
Abeg Patel,Thank you👍 for the awesome content We want more data engineering real world end to end project with real time streaming to deal with real world problem and situation.,2022-09-22T05:32:02Z
Syed Mohammad Bilal,How to create access keys??,2022-09-21T20:16:36Z
Raghavarao Sunkanapally,"At first, I tried on AWS Ubuntu t2.micro to run airflow - Gave error(Didnot execute Airflow Standalone)
But Later, I tried t3.medium, It worked well. Thanks for the video!",2022-09-21T17:52:51Z
Mangesh Gawali,"Great explanation. Thanks, Darshil! 😊",2022-09-21T12:23:24Z
santosh chavan,Awesome sir...... That's what I actually want...,2022-09-21T10:08:03Z
Mohammad Tanvir Hossain,Hey bro always liked your video !! do create more project based Data Engineering Videos. Would be nice if you would create something that will teach about docker.,2022-09-21T08:06:43Z
Naveena's baby vlog,"Wowww., Wonderful explanation.., never before ever after...
True master for Big Data  ,🙂Darshil",2022-09-21T05:04:40Z
Vidya Nishok,Thanks and keep doing more... Please also make python part 2 ..,2022-09-21T04:05:56Z
Roline John Aguilar,"cool man, just what I needed",2022-09-21T02:38:18Z
Lucas lopes,"Very good Darshil, keep the good work, cheers from Brasil.",2022-09-21T02:18:58Z
Vivek Joshi,"Hi Darshil!
One small question. Sorry it's not related to DE but ETL.
Do I need know ETL for a data analyst jobs in India ?
I have looked Job desctiption of data analyst jobs in India and the US & I saw this pattern of ""requiring knowledge of ETL & Data Warehouse"" in most DA jobs in India where as DA jobs in the US have least number of requirements.

I don't know what is the ground reality of Data Analyst jobs in India but things like those make me scare away from applying to DA jobs in the country until I get ETL knowledge(my brain tells me that). Now I don't know heck about ETL because my professional Certification did not cover ETL so I am unable to freely apply for jobs and feel chained due to not knowing that one ETL technology.
Thank you if you could help.",2022-09-21T01:48:31Z
Ram Gurung,Thanks!,2022-09-21T00:47:15Z
keyur solanki,Love the way you have explained things. Loads of success to you😇,2022-09-20T23:45:14Z
Partab Parmar,THANK YOU SO MUCH FOR SUCHA  QUALITY CONTENT ......GOD BLESS YOU,2022-09-20T20:06:54Z
Khushnood Ahmed,Great explanation! Will try to replicate in GCP,2022-09-20T19:53:58Z
ARITRA,Please take out time and create deeper conceptual projects like this. If possible please provide real time scenario based projects. We will be really interested to get further depth. This one is awesome!!,2022-09-20T19:26:30Z
Rohan Kupate,mai ye begining karna chahtu  hu par  muze aws nhi ata aur Apache bhi nhi,2022-09-20T17:28:01Z
भागवत श्लोक,Thanks a lot ❤️,2022-09-20T16:44:13Z
Ariel Carambula,"Hi Darshil I have this error following your code: 

453 - You currently have Essential access which includes access to Twitter API v2 endpoints only. If you need access to this endpoint, you’ll need to apply for Elevated access via the Developer Portal
Thanks in advance",2022-09-20T16:24:31Z
Meet Patel,"Hii darshil
Could you tell that will there be a job of data engineering in web 3.0 or not because data will be decentralised in web 3.0",2022-09-20T16:15:40Z
Muley Shubham,Thanks Darshil for the project ! Loved it ! Can you suggest topics/ideas for more projects so that we can do it on our own ?,2022-09-20T16:13:39Z
Venkata H,My sincere thanks to your efforts for contributing these kind of real time scenario based use case examples. 🙏,2022-09-20T15:55:12Z
arnav roy,Very knowledgeable,2022-09-20T15:50:01Z
Ram Gupta,"Hi Darshil, what's the pre requisite for this content. Any cloud or prior knowledge is required?",2022-09-20T15:26:24Z
Mesum Raza Hemani,Very good! Make more of such videos.,2022-09-20T15:18:06Z
Abhijeet pradhan,"Best content ever..👍
So nice of you..
Really want more such Projects..",2022-09-20T15:11:44Z
Dheerendra Negi,Plz make a data engineering course.,2022-09-20T15:09:39Z
payday_11,Please keep making more videos like this!,2022-09-20T15:09:11Z
Tejas Borkar,"Great darshil this is really helpful video
Thank you.. keep uploading content like this please",2022-09-20T14:49:31Z
